credit_card_number,credit_card_provider,id,price,purchase_date,isbn10
4349047971198240,JCB 16 digit,2373,3832,2020-02-11,1-346-10226-0
30274059069463,VISA 19 digit,5154,429,2020-09-14,1-81613-864-9
4877168115789056,VISA 19 digit,3546,4372,2020-10-14,0-444-76629-4
630470384938,JCB 15 digit,3440,7810,2020-03-27,0-235-65652-6
3596214253310669,Discover,1463,4618,2020-09-21,1-247-01430-4
6011309388988080,VISA 19 digit,4853,6203,2020-08-18,1-192-13991-7
4751061795292405359,VISA 13 digit,3510,4068,2020-07-09,0-543-97968-7
6580446660065665,VISA 16 digit,7324,3196,2020-09-05,0-7037-4176-4
3505676144050342,VISA 19 digit,7543,7419,2020-01-15,1-01-346877-5
5397988058384385,VISA 16 digit,8947,1948,2020-03-03,1-296-59159-X
4619308101479,American Express,8520,1456,2020-11-01,1-4074-2322-3
2242096460085568,VISA 16 digit,3356,7214,2020-04-04,0-9667764-3-7
2242024091143390,VISA 16 digit,8419,3589,2020-08-07,1-75713-907-9
574138426659,Diners Club / Carte Blanche,6442,7919,2020-04-16,1-260-86255-0
30095797878315,Diners Club / Carte Blanche,6740,7681,2020-02-11,1-5256-6593-6
6011000957782240,JCB 16 digit,1402,7385,2020-09-22,1-902083-43-1
6011189931515634,VISA 19 digit,446,7779,2020-02-17,1-335-51471-6
676362253699,VISA 16 digit,3262,1585,2020-02-04,1-68789-191-5
5287649973482224,VISA 16 digit,7866,8583,2020-01-20,0-927035-73-1
630482026667,VISA 13 digit,3394,5652,2020-05-24,0-15-235983-4
3584937644737703,Diners Club / Carte Blanche,9374,5961,2020-03-09,1-336-94347-5
180085278837037,Diners Club / Carte Blanche,9220,5707,2020-07-15,1-74837-578-4
4883813181188400,Diners Club / Carte Blanche,4413,1137,2020-09-15,1-4707-7908-0
374685669516862,VISA 16 digit,5082,4754,2020-09-15,0-422-41978-8
2518340739797265,VISA 16 digit,4435,5974,2020-02-14,0-509-84369-7
6011644551935330,American Express,220,9835,2020-10-15,0-8064-0982-7
213153811616119,Discover,4927,4301,2020-08-20,1-357-28125-0
6011416440632174,VISA 16 digit,7453,9620,2020-06-02,0-89782-076-2
4928775506864328577,JCB 16 digit,9630,2958,2020-02-04,0-14-097732-5
3589397904022749,JCB 16 digit,4919,8363,2020-04-06,0-215-58360-4
4691120054219685926,VISA 13 digit,5450,4840,2020-05-11,0-9964851-9-8
4346896079766503,American Express,3078,4965,2020-07-16,0-9624550-2-4
630433410697,American Express,9606,2836,2020-04-15,1-58205-183-6
4438601748324653,VISA 19 digit,4649,404,2020-05-22,0-549-99193-X
343120380694440,VISA 19 digit,6436,8420,2020-10-15,0-8472-7010-6
376320199285147,American Express,2090,1070,2020-11-04,0-07-146545-6
4224310872556746,VISA 13 digit,6058,6340,2020-01-30,1-187-22312-3
4563629547009453,VISA 16 digit,5521,633,2020-03-06,0-209-11682-X
3551571799024465,Diners Club / Carte Blanche,7067,6016,2020-10-04,0-8168-5529-3
3547913475005730,JCB 15 digit,8706,1955,2020-09-09,0-285-97785-7
342332672799131,VISA 16 digit,3171,9831,2020-01-06,0-89364-714-4
6506444403628676,VISA 13 digit,4058,5579,2020-04-16,1-302-96121-7
213134322259359,VISA 19 digit,8937,4309,2020-03-30,1-06-019606-9
4424732640537019040,American Express,387,3851,2020-09-07,1-67677-911-6
341281572500258,VISA 19 digit,6832,1935,2020-08-28,0-401-28315-1
630498096183,American Express,297,6892,2020-03-28,1-362-26606-X
4130256019907760500,VISA 19 digit,927,3155,2020-01-21,1-4842-0387-9
342976904404579,JCB 16 digit,4297,3652,2020-03-09,0-351-87689-8
180082537592859,Maestro,1935,4904,2020-07-09,0-379-27992-4
2240448513744539,JCB 15 digit,5081,6076,2020-05-03,1-140-03416-2
4337055257887224,American Express,4674,8783,2020-03-03,0-7069-4942-0
4698865800504719,VISA 13 digit,1849,6618,2020-09-30,0-489-21456-8
30141604056941,VISA 16 digit,6583,8350,2020-04-22,0-434-41589-8
348021003739320,VISA 16 digit,4703,9136,2020-10-12,1-4895-3017-7
36263961818947,VISA 19 digit,3303,4953,2020-11-02,0-9890399-2-7
5294766364126128,JCB 15 digit,5602,8786,2020-10-20,0-19-606219-5
4163029449847296,VISA 13 digit,4995,5833,2020-06-16,1-04-452805-2
4492982328994658,VISA 16 digit,4595,7943,2020-01-19,1-4210-2344-X
4219690796141,VISA 19 digit,6216,540,2020-03-18,0-234-76676-X
213160442855941,Discover,2955,5754,2020-01-25,0-04-421165-1
6011568683853899,Discover,4365,7796,2020-08-12,0-636-72575-8
574092692619,Diners Club / Carte Blanche,7717,4726,2020-04-22,0-05-574396-X
4337225323498773,JCB 16 digit,5465,6990,2020-01-15,0-04-668944-3
4203778261673,Mastercard,318,4720,2020-10-25,1-85568-249-4
4638974662994068,Discover,1365,9150,2020-01-20,0-906823-08-0
4408079483164459,VISA 16 digit,9328,6020,2020-05-12,0-676-83925-8
180084459584666,VISA 13 digit,1992,6799,2020-07-26,0-11-360433-5
6580236687493473,VISA 16 digit,4838,2436,2020-07-17,1-287-56116-0
4969406054176930831,Maestro,9916,4258,2020-10-28,1-58670-267-X
4115905431079445,Mastercard,1819,7672,2020-11-04,0-7603-0157-3
3531982487344831,Discover,2148,4418,2020-07-10,1-76857-771-4
213142687519853,American Express,1001,1091,2020-02-17,1-5034-4465-1
2247638101225791,VISA 16 digit,8418,5630,2020-01-09,1-63887-151-5
060466806951,Diners Club / Carte Blanche,4482,1222,2020-03-17,0-7920-0613-5
3517760197766008,Diners Club / Carte Blanche,9657,3523,2020-02-14,0-598-68698-3
4411543359033,Discover,2739,6100,2020-10-08,0-7330-1983-8
379826634068200,JCB 16 digit,8781,2834,2020-02-13,0-583-77852-6
676180854058,JCB 16 digit,9380,9862,2020-05-07,1-971426-79-2
4709632630523,Discover,4894,4927,2020-05-18,1-274-43179-4
213104333036864,American Express,7440,7910,2020-07-31,1-917151-09-8
180033658458636,JCB 16 digit,5400,1543,2020-03-09,0-371-10692-3
3502398086524563,VISA 13 digit,5941,7746,2020-01-04,1-08-457471-3
36431409107450,VISA 19 digit,9531,400,2020-09-26,1-68108-179-2
30527999450865,Diners Club / Carte Blanche,4294,3599,2020-08-18,1-368-92899-4
4175144481668173,Discover,4589,4083,2020-10-21,0-9998357-1-8
4754993949667577782,VISA 16 digit,5518,1759,2020-06-25,1-55227-281-8
3522244024559368,VISA 19 digit,8349,6071,2020-02-10,0-239-78567-3
3567718571277454,JCB 15 digit,5755,2250,2020-04-04,1-67419-177-4
30348038925902,American Express,277,6393,2020-02-27,1-4328-6234-0
676297485481,VISA 13 digit,9772,615,2020-01-11,0-681-35061-X
6011179076541800,JCB 16 digit,1014,6814,2020-07-12,0-365-89615-2
4272807385381,VISA 16 digit,813,5508,2020-09-11,1-889157-37-6
4533821133102142,Discover,7765,1050,2020-02-16,1-890698-38-5
3542958756881825,VISA 16 digit,6408,221,2020-01-08,1-05-309873-1
376984992504465,Discover,1058,8447,2020-06-12,1-4741-5641-X
630463666713,JCB 15 digit,9749,3652,2020-08-03,0-207-91646-2
3533830212863286,JCB 16 digit,6366,4390,2020-06-15,0-16-171525-7
4936993090239564,VISA 13 digit,636,3801,2020-09-14,1-70193-557-0
2713455913204426,VISA 16 digit,2662,9759,2020-09-22,0-9670303-8-2
3522675822472819,Discover,8993,6224,2020-07-18,0-12-299709-3
180023957188265,VISA 16 digit,8589,9478,2020-02-23,0-647-29292-0
4524371760492,VISA 13 digit,9223,1289,2020-10-20,0-7893-9556-8
3568722704043154,VISA 16 digit,8588,1410,2020-01-22,1-59841-178-0
4939274858823,VISA 19 digit,9371,4716,2020-03-08,0-85263-311-4
38617089079849,Maestro,6784,5825,2020-07-24,1-151-85584-7
213168677704346,VISA 16 digit,7188,1700,2020-04-13,1-4062-9278-8
30460079036240,VISA 13 digit,2941,9434,2020-01-31,0-425-32108-8
4067317704893,Discover,767,8858,2020-08-17,1-102-83237-5
6011056115941813,VISA 16 digit,9408,6989,2020-02-18,0-405-15228-0
630483670497,Discover,2697,8584,2020-01-13,1-86924-041-3
3541063047983976,JCB 15 digit,6515,8822,2020-02-25,0-06-424565-9
4622460757376278,JCB 16 digit,2656,3063,2020-04-05,0-7898-0409-3
4325220021432335,Maestro,9365,7360,2020-04-28,0-348-80157-2
36201846615112,American Express,346,4590,2020-10-19,1-03-119506-8
376829852940277,Maestro,8826,7290,2020-10-02,0-295-91973-6
4101595687378005703,VISA 16 digit,2724,7237,2020-04-12,0-9521837-1-4
502027355754,JCB 16 digit,8811,7395,2020-09-11,1-64474-796-0
4226173834968,VISA 19 digit,4910,2076,2020-07-17,0-18-735218-6
5123534712175040,Mastercard,4699,569,2020-01-30,1-892637-71-5
4409266771450570,Mastercard,2341,3615,2020-01-11,1-239-38524-2
4218553433812359,Maestro,4857,8270,2020-03-10,0-9841154-7-1
4497682091727,American Express,8149,9634,2020-07-19,0-570-66032-7
630442159103,American Express,8666,6155,2020-10-18,0-9650744-0-4
30044948510393,Mastercard,7511,1263,2020-03-31,1-876716-92-4
4954773590348900,Diners Club / Carte Blanche,3566,7626,2020-10-22,1-379-34524-3
180041375723125,VISA 13 digit,6834,8586,2020-08-05,1-78488-647-5
3513225681811136,JCB 16 digit,901,8157,2020-06-06,1-326-05279-9
3594879374773649,JCB 16 digit,6577,4559,2020-10-27,0-7294-8661-3
3557992443615454,JCB 16 digit,3515,370,2020-06-07,1-366-36692-1
3517719044820830,VISA 19 digit,4813,4578,2020-06-11,0-7342-1674-2
6011864914796563,VISA 19 digit,9875,8456,2020-10-28,0-912517-29-8
342913761329953,Mastercard,3204,3637,2020-07-06,1-344-13975-2
503866017919,American Express,3125,5818,2020-01-13,1-4043-2291-4
4321171693894,VISA 13 digit,8640,130,2020-10-29,0-10-049720-9
378590235013731,Mastercard,4935,9987,2020-04-19,0-480-35661-0
4021489957773114,VISA 13 digit,8079,5565,2020-07-14,1-67814-995-0
341201740751112,VISA 13 digit,5794,5973,2020-07-17,1-85147-035-2
3503197193187424,VISA 19 digit,4786,2602,2020-01-25,1-4554-4772-2
5477738258663143,Discover,7412,9619,2020-07-28,1-07-295596-2
372021692099316,Mastercard,8136,3432,2020-10-27,0-211-03967-5
2299152862398794,VISA 16 digit,867,9780,2020-02-06,0-482-69550-1
36973786317285,JCB 16 digit,4705,1213,2020-07-22,1-85558-677-0
3545245877762366,Maestro,1693,8949,2020-08-08,0-318-41409-0
4217427367889,JCB 15 digit,9048,8844,2020-11-02,0-523-05136-0
5301151988462103,VISA 13 digit,4618,4361,2020-10-29,0-2285-5150-1
6011926335084117,VISA 16 digit,1094,2543,2020-04-05,0-00-969543-5
676328931214,Discover,5511,4640,2020-05-26,0-7146-8959-9
2290794070781904,Mastercard,1986,9556,2020-05-10,1-74820-178-6
3557140265456405,VISA 19 digit,9963,714,2020-07-19,1-64110-875-4
4167184311088309,VISA 19 digit,4397,4261,2020-01-02,0-09-707289-3
566701262974,JCB 15 digit,2616,8970,2020-07-22,1-953266-80-0
30135440343752,Diners Club / Carte Blanche,4846,2124,2020-04-24,1-08-343909-X
4805215123055108,VISA 13 digit,835,1429,2020-03-26,1-288-34862-2
2391495309059975,American Express,3697,6955,2020-02-04,1-03-282095-0
3507086238788575,Diners Club / Carte Blanche,3430,428,2020-05-07,1-380-32462-9
3549797966170154,JCB 16 digit,4594,1879,2020-08-26,1-4283-7234-2
6011633061331486,American Express,6549,9519,2020-03-26,0-7163-4062-3
4102307484709,VISA 16 digit,9970,9204,2020-04-12,1-63496-911-1
2289393933489327,VISA 16 digit,7073,5660,2020-10-13,0-14-504672-9
3504774922717488,VISA 19 digit,2569,5810,2020-11-04,1-9845-4899-9
630435979962,VISA 19 digit,2455,9704,2020-05-23,0-423-40156-4
348312259921849,Mastercard,4335,5275,2020-05-12,1-01-827738-2
3593374952802391,JCB 15 digit,9581,2051,2020-01-26,1-58654-032-7
180007175839601,Mastercard,1483,7966,2020-04-01,0-686-27155-6
502040843802,VISA 19 digit,5211,7109,2020-05-17,0-7879-6362-3
4154739099946898,Mastercard,412,1046,2020-03-27,0-562-68865-X
4691490622970852,VISA 13 digit,3675,9650,2020-03-17,0-417-86429-9
5290205647120867,JCB 16 digit,9333,2285,2020-10-13,1-71974-358-4
4037881888273,JCB 15 digit,3884,677,2020-07-11,1-4058-3556-7
376745030087379,JCB 15 digit,7614,5995,2020-08-18,1-68169-359-3
342087768971388,Maestro,6845,3135,2020-09-25,0-693-30739-0
213142580755265,American Express,3384,392,2020-02-11,1-881036-82-0
4111558316908016,VISA 13 digit,3032,1838,2020-04-05,0-7892-5666-5
4928703110556163413,VISA 13 digit,6114,8828,2020-08-05,1-102-20296-7
345770327421022,Diners Club / Carte Blanche,6262,8109,2020-02-25,1-5258-1685-3
502077945561,JCB 16 digit,3025,2964,2020-10-08,0-401-94484-0
4140096994523984,Discover,9791,6118,2020-08-07,0-04-213100-6
3502357467263910,Maestro,6754,8057,2020-08-14,0-9902131-1-0
374695452648558,VISA 16 digit,7391,2537,2020-04-01,0-8211-8867-4
4560342527135099,Diners Club / Carte Blanche,4592,6577,2020-10-16,0-408-10343-4
6011100967005176,Mastercard,6930,5831,2020-11-02,0-514-71955-9
3562182763354412,Maestro,6954,725,2020-05-02,0-7913-6104-7
342373840073165,JCB 15 digit,1296,3519,2020-05-07,1-366-38485-7
6542700091351624,American Express,4542,9246,2020-01-28,0-9834621-1-9
6011442277465702,Discover,8914,3670,2020-06-10,0-14-173545-7
4239895424141,JCB 16 digit,536,6479,2020-02-04,1-78885-815-8
6531884088004512,Discover,556,1384,2020-08-18,0-05-200892-4
342671321640695,VISA 19 digit,7361,537,2020-04-21,1-871991-95-1
6578667361856003,Discover,1034,9829,2020-09-20,1-298-10121-2
586338394156,VISA 16 digit,7713,6614,2020-06-04,0-12-617039-8
4191940282042,VISA 16 digit,7687,2085,2020-06-06,0-7760-6419-3
213153857435887,Discover,5708,8990,2020-06-02,1-123-03126-6
4833667294910006,Discover,4491,3474,2020-05-09,0-918381-27-4
3507064533371892,Discover,1583,3838,2020-02-11,0-923899-83-9
30415540695438,Discover,2378,882,2020-01-14,0-218-20575-9
4731462638936415029,VISA 16 digit,3880,329,2020-09-22,1-159-26264-0
370652759332885,Discover,8027,8182,2020-01-12,1-163-62803-4
3591072917377135,Mastercard,1368,8844,2020-10-18,0-7591-1890-6
4601936211268,Maestro,4715,7512,2020-08-16,0-410-91860-1
180071848248681,Discover,9562,3155,2020-06-22,1-7374066-9-1
371177919130606,VISA 19 digit,2259,9920,2020-07-20,0-9559122-1-0
180082548630573,Diners Club / Carte Blanche,6618,3661,2020-10-04,1-319-24890-X
4423333373095088,VISA 16 digit,2243,7934,2020-02-27,0-249-29474-5
060404645719,VISA 16 digit,5639,9161,2020-07-27,0-398-62640-5
676317650247,Maestro,7956,4646,2020-09-18,0-8223-6959-1
6011511993946136,JCB 16 digit,6407,5552,2020-08-17,0-7084-7733-X
6011242286074226,Maestro,5707,8221,2020-06-04,0-600-84210-X
4486718098475538,JCB 15 digit,9952,4568,2020-05-28,1-190-57270-2
3592757346718797,JCB 15 digit,8301,5112,2020-05-22,1-75212-204-6
38187543746565,VISA 19 digit,8701,9466,2020-09-20,1-4584-9180-3
060487820478,JCB 15 digit,4456,1693,2020-09-21,1-4218-2932-0
3558226454571952,American Express,5246,3913,2020-10-27,1-184-14128-2
347590612856577,JCB 16 digit,266,5747,2020-07-18,0-274-71857-X
3558754764105021,Maestro,69,2895,2020-04-24,0-248-77280-5
4627016004230109,Maestro,6801,6369,2020-10-23,0-419-80244-4
340224254745925,JCB 16 digit,1811,2233,2020-10-27,0-949663-17-4
38119382949778,JCB 15 digit,975,7699,2020-03-10,0-207-07947-1
3597348513832101,VISA 13 digit,1742,5654,2020-07-26,1-79001-669-X
4207303952373887127,VISA 13 digit,8002,8287,2020-06-23,1-64263-619-3
343344334648167,VISA 13 digit,2323,7973,2020-08-24,1-5428-0522-8
30403586122418,VISA 16 digit,2526,5952,2020-05-25,0-03-660687-1
3505310990331313,JCB 16 digit,6026,8736,2020-04-21,1-955803-86-2
3506172839996501,Discover,2965,2827,2020-04-01,0-8268-2992-9
373445667800136,JCB 16 digit,8578,3609,2020-07-06,0-915200-08-2
6530925072562634,Discover,8775,2168,2020-03-31,0-7657-8242-1
6011467598617343,Discover,8092,2967,2020-04-23,1-162-02624-3
4821725939086205505,Mastercard,3220,5815,2020-08-16,1-65486-298-3
3570763483000375,Discover,9043,5240,2020-04-21,1-372-25860-4
3511202300804216,VISA 16 digit,9031,9230,2020-06-01,1-5089-1905-4
639053647751,Maestro,6096,3741,2020-09-08,1-108-75177-6
6011147241154239,VISA 16 digit,3228,1559,2020-04-04,1-155-14864-9
3503814083605477,JCB 16 digit,6650,7426,2020-05-22,0-438-99697-6
4896994485318613625,Maestro,9708,3836,2020-07-30,1-276-85022-0
4646932937804,JCB 16 digit,6718,3847,2020-10-31,1-968977-05-8
6572895606619730,Diners Club / Carte Blanche,8760,8701,2020-06-30,0-576-02312-4
4750300478038860,VISA 19 digit,1282,4367,2020-06-24,1-4813-4068-9
346822188365886,VISA 16 digit,6004,5018,2020-05-02,1-160-67568-6
4103082043868,VISA 16 digit,9652,5651,2020-04-07,0-05-682089-5
349661078660148,Maestro,4692,7831,2020-10-02,1-57383-100-X
502082881751,VISA 16 digit,3355,9775,2020-02-02,1-168-07489-4
36190044015607,Mastercard,7670,6014,2020-10-04,1-4600-6130-6
3561263670980571,VISA 16 digit,1063,4841,2020-11-02,0-7885-6929-5
4438657482038,American Express,5627,5231,2020-04-23,1-921311-18-5
4071216964814,Maestro,8442,7699,2020-10-30,1-79488-369-X
4290784467802453049,VISA 19 digit,4041,1188,2020-04-01,1-146-13999-3
4092851202523529563,Maestro,1556,2934,2020-04-11,1-993390-87-1
344541523218285,VISA 16 digit,684,3014,2020-01-09,0-15-723661-7
4077798296773558,JCB 16 digit,5581,6356,2020-07-25,0-9960197-2-3
4550086812923220,American Express,2264,77,2020-05-20,1-01-936279-0
4023506322802126,American Express,8927,2423,2020-10-18,1-56517-413-5
3549720217086821,American Express,6478,930,2020-07-17,0-454-04087-3
630456968928,JCB 15 digit,7058,2703,2020-04-14,1-332-79737-7
6011165691923333,VISA 19 digit,8576,7694,2020-02-21,0-620-56762-7
572382928651,JCB 15 digit,8717,5937,2020-08-25,0-379-94082-5
30538218212937,Mastercard,184,3643,2020-02-13,0-598-70997-5
30112969478038,JCB 16 digit,6758,9822,2020-09-17,1-916925-26-X
4440284045942919,American Express,1672,1754,2020-04-10,0-87463-708-2
36529012071532,Diners Club / Carte Blanche,2901,1134,2020-07-03,1-190-28449-9
4895881956840,VISA 16 digit,8054,7597,2020-03-28,1-69901-292-X
6569733805711153,VISA 13 digit,9168,9204,2020-06-17,0-534-59906-0
4708318158640097645,VISA 19 digit,3487,4259,2020-10-06,0-551-92886-7
213111422767606,JCB 16 digit,2048,7911,2020-10-30,1-284-06878-1
501864066367,VISA 13 digit,4607,4116,2020-05-16,1-69763-113-4
060465878100,Maestro,4557,4377,2020-02-17,1-950330-02-8
3591048033003151,VISA 16 digit,9292,3273,2020-06-02,1-197-45762-3
639034161336,JCB 15 digit,1528,1724,2020-03-19,1-4489-0957-0
4839504677599,Maestro,7972,4905,2020-03-01,1-7335978-3-2
4562986024409,JCB 16 digit,1106,9772,2020-02-29,1-324-15170-6
30538273709892,Maestro,4494,9462,2020-08-11,0-86126-361-8
4594597363677067810,Diners Club / Carte Blanche,4112,3046,2020-07-04,0-7021-2207-6
213143868913667,VISA 19 digit,5769,8050,2020-09-27,1-4831-4696-0
4335806712508140,Maestro,7169,442,2020-05-15,1-04-125400-8
6508637401077725,JCB 16 digit,2156,230,2020-06-10,0-410-81973-5
060403159845,Maestro,3276,5930,2020-03-13,0-15-067587-9
6011329013351215,VISA 19 digit,7091,5309,2020-02-08,1-195-35399-5
4960623007300766,Mastercard,3762,3459,2020-10-17,0-454-08365-3
30373516353005,Maestro,1408,6777,2020-01-23,1-02-586867-6
3562877511820834,VISA 16 digit,4231,4684,2020-06-14,1-192-70922-5
5208993498221394,VISA 16 digit,7757,7247,2020-02-15,1-60805-880-8
3504375848240421,VISA 19 digit,3597,2043,2020-10-16,0-939079-86-0
2463716094791834,JCB 16 digit,7357,635,2020-03-17,1-61702-897-5
675987920930,American Express,615,3549,2020-04-15,0-431-64012-2
349484620395695,VISA 13 digit,2790,7246,2020-09-30,1-00-504370-1
6011846740294376,Mastercard,815,2998,2020-04-10,0-07-358450-9
4384814697342,American Express,8385,5270,2020-02-01,0-661-03939-0
213141142931935,Diners Club / Carte Blanche,7606,4687,2020-02-19,0-6480053-8-0
4537442264457365,Diners Club / Carte Blanche,7206,6775,2020-03-23,1-77475-292-1
3576564292772277,VISA 16 digit,345,1661,2020-10-05,0-655-78868-9
180042283976508,JCB 16 digit,8509,9201,2020-04-03,1-9749-0107-6
503839269266,JCB 15 digit,452,5786,2020-11-04,0-7476-7998-3
180051594312287,VISA 16 digit,8038,4403,2020-02-08,1-283-08102-4
4966009482053409776,Mastercard,6468,3219,2020-03-17,1-4222-8134-5
213133602393169,Mastercard,3350,9172,2020-07-19,0-541-61417-7
2717614006998023,Maestro,4550,4782,2020-03-18,1-08-988073-1
3509393568558109,VISA 19 digit,3080,7635,2020-01-14,0-2281-9990-5
213174951235031,American Express,8271,7201,2020-04-15,1-122-30858-2
213152952873166,JCB 16 digit,8014,2530,2020-10-25,1-00-417716-X
6011555069333620,Mastercard,5947,1309,2020-03-28,0-7493-1806-6
3511099018390920,VISA 16 digit,929,4510,2020-03-18,1-392-25026-9
3528419627248429,Maestro,7230,2276,2020-02-11,0-529-51097-9
4460575107752746032,Discover,521,6466,2020-05-06,1-4728-6429-8
503801271878,JCB 16 digit,4929,8997,2020-01-29,0-257-94818-X
30011390533637,JCB 16 digit,4308,1950,2020-09-19,1-166-73587-7
4852668127483,Diners Club / Carte Blanche,4249,4007,2020-03-17,1-314-11857-9
3574799499045315,Diners Club / Carte Blanche,4469,8679,2020-08-27,1-896866-55-7
